name,min,max,cardinality,num_unique_values
t0.PK,0,999999,-1,-1
t1.PK,0,999999,-1,-1
t1.FK,8163.0,937429.0,-1,-1
t2.PK,0,999999,-1,-1
t2.FK,3633.0,997959.0,-1,-1
t3.PK,0,999999,-1,-1
t3.FK,59017.0,965631.0,-1,-1
t4.PK,0,999999,-1,-1
t4.FK,1929.0,959908.0,-1,-1
t5.PK,0,999999,-1,-1
t5.FK,4620.0,984716.0,-1,-1
t6.PK,0,999999,-1,-1
t6.FK,11984.0,879492.0,-1,-1
t7.PK,0,999999,-1,-1
t7.FK,6361.0,998549.0,-1,-1
t8.PK,0,999999,-1,-1
t8.FK,6559.0,993939.0,-1,-1
t9.PK,0,999999,-1,-1
t9.FK,10903.0,893300.0,-1,-1
