name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,nan,nan,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,nan,nan,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,nan,nan,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,nan,nan,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,nan,nan,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,nan,nan,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,nan,nan,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,nan,nan,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,nan,nan,-1,-1
