name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,1.0,999999.0,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,0,579522,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,0,881374,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,1,817732,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,3,889761,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,0.0,999998.0,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,0,738126,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,0,641891,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,3.0,999997.0,-1,-1
