name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,52.0,999968.0,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,1.0,999997.0,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,62.0,999966.0,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,19.0,999995.0,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,3.0,999982.0,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,36.0,999977.0,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,27.0,999985.0,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,10.0,999997.0,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,565.0,999904.0,-1,-1
