name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,0,20359,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,0,20156,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,0,20282,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,0,20345,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,0,20150,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,0,20185,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,0,20251,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,0,20136,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,0,20091,-1,-1
