name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,0,35747,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,0,35188,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,0,35664,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,0,35604,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,0,35398,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,0,35538,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,0,35440,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,0,35444,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,0,35369,-1,-1
