name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,8.0,999989.0,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,1.0,999998.0,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,2.0,999991.0,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,4.0,999997.0,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,3.0,999998.0,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,0.0,999998.0,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,11.0,999994.0,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,1.0,999997.0,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,11.0,999996.0,-1,-1
