name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,0,162707,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,0,134484,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,0,152258,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,0,149237,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,0,151806,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,0,169222,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,0,144909,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,0,138712,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,0,171045,-1,-1
