name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,149.0,999968.0,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,1.0,999977.0,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,320.0,999605.0,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,52.0,999995.0,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,111.0,999972.0,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,220.0,999775.0,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,50.0,999857.0,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,24.0,999997.0,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,923.0,999677.0,-1,-1
