name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,0,27180,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,0,26943,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,0,27120,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,0,27189,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,0,26951,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,0,27088,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,0,27053,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,0,26954,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,0,26832,-1,-1
