name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,2749.0,991204.0,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,410.0,999675.0,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,16088.0,991673.0,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,1929.0,999995.0,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,2368.0,999713.0,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,11984.0,982937.0,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,3963.0,998669.0,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,1305.0,999050.0,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,10903.0,999677.0,-1,-1
