name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,974.0,996889.0,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,199.0,999896.0,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,586.0,998979.0,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,100.0,999995.0,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,482.0,999713.0,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,220.0,998698.0,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,50.0,999711.0,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,758.0,999827.0,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,3360.0,999677.0,-1,-1
