name,min,max,cardinality,num_unique_values
table0.pk,0,999999,-1,-1
table1.pk,0,999999,-1,-1
table1.fk,0,15446,-1,-1
table2.pk,0,999999,-1,-1
table2.fk,0,12656,-1,-1
table3.pk,0,999999,-1,-1
table3.fk,0,14383,-1,-1
table4.pk,0,999999,-1,-1
table4.fk,0,14104,-1,-1
table5.pk,0,999999,-1,-1
table5.fk,0,14322,-1,-1
table6.pk,0,999999,-1,-1
table6.fk,0,15677,-1,-1
table7.pk,0,999999,-1,-1
table7.fk,0,13608,-1,-1
table8.pk,0,999999,-1,-1
table8.fk,0,13039,-1,-1
table9.pk,0,999999,-1,-1
table9.fk,0,15823,-1,-1
